price updated
price updated
price updated
price updated
price updated
price updated
price updated
price updated
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 44, in <module>
    print(str(datetime.now())+' -- price updated')
NameError: name 'datetime' is not defined
2019-09-29 11:54:03.219291 -- price updated
2019-09-29 11:57:02.718229 -- price updated
2019-09-29 12:00:03.884852 -- price updated
2019-09-29 12:03:02.632546 -- price updated
2019-09-29 12:06:03.447085 -- price updated
2019-09-29 12:09:02.862897 -- price updated
2019-09-29 12:12:02.951846 -- price updated
2019-09-29 12:15:02.555487 -- price updated
2019-09-29 12:18:02.870435 -- price updated
2019-09-29 12:21:02.757057 -- price updated
2019-09-29 12:24:03.107322 -- price updated
2019-09-29 12:27:02.430751 -- price updated
2019-09-29 12:30:03.689546 -- price updated
2019-09-29 12:33:03.221620 -- price updated
2019-09-29 12:36:02.569594 -- price updated
2019-09-29 12:39:03.117171 -- price updated
2019-09-29 12:42:03.152618 -- price updated
2019-09-29 12:45:03.065760 -- price updated
2019-09-29 12:48:02.502876 -- price updated
2019-09-29 12:51:02.387726 -- price updated
2019-09-29 12:54:02.553393 -- price updated
2019-09-29 12:57:04.134253 -- price updated
2019-09-29 13:00:03.065343 -- price updated
2019-09-29 13:03:02.468787 -- price updated
2019-09-29 13:06:02.859789 -- price updated
2019-09-29 13:09:02.916271 -- price updated
2019-09-29 13:12:02.821531 -- price updated
2019-09-29 13:15:03.466224 -- price updated
2019-09-29 13:18:02.780792 -- price updated
2019-09-29 13:21:02.767427 -- price updated
2019-09-29 13:24:03.124976 -- price updated
2019-09-29 13:27:02.434906 -- price updated
2019-09-29 13:30:03.687403 -- price updated
2019-09-29 13:33:03.160130 -- price updated
2019-09-29 13:36:02.631838 -- price updated
2019-09-29 13:39:02.950553 -- price updated
2019-09-29 13:42:03.040120 -- price updated
2019-09-29 13:45:02.782089 -- price updated
2019-09-29 13:48:03.680178 -- price updated
2019-09-29 13:51:03.393761 -- price updated
2019-09-29 13:54:03.033177 -- price updated
2019-09-29 13:57:02.771553 -- price updated
2019-09-29 14:00:03.986698 -- price updated
2019-09-29 16:21:02.649544 -- price updated
2019-09-29 16:24:03.050718 -- price updated
2019-09-29 16:27:02.552967 -- price updated
2019-09-29 16:30:03.453702 -- price updated
2019-09-29 16:33:03.016498 -- price updated
2019-09-29 16:36:02.033873 -- price updated
2019-09-29 16:39:02.285944 -- price updated
2019-09-29 16:42:03.382629 -- price updated
2019-09-29 16:45:03.283053 -- price updated
2019-09-29 16:48:02.771957 -- price updated
2019-09-29 16:51:02.678638 -- price updated
2019-09-29 16:54:03.777536 -- price updated
2019-09-29 16:57:02.826276 -- price updated
2019-09-29 17:00:03.812487 -- price updated
2019-09-29 17:03:03.173151 -- price updated
2019-09-29 17:06:02.516980 -- price updated
2019-09-29 17:09:02.772530 -- price updated
2019-09-29 17:12:02.771895 -- price updated
2019-09-29 17:15:03.724506 -- price updated
2019-09-29 17:18:03.146793 -- price updated
2019-09-29 17:21:03.181715 -- price updated
2019-09-29 17:24:03.353266 -- price updated
2019-09-29 17:27:02.814644 -- price updated
2019-09-29 17:30:04.042147 -- price updated
2019-09-29 17:33:02.905081 -- price updated
2019-09-29 17:36:04.892368 -- price updated
2019-09-29 17:39:04.279020 -- price updated
2019-09-29 17:42:02.259949 -- price updated
2019-09-29 17:45:04.931718 -- price updated
2019-09-29 17:48:02.636260 -- price updated
2019-09-29 17:51:03.307888 -- price updated
2019-09-29 17:54:02.657593 -- price updated
2019-09-29 17:57:03.230839 -- price updated
2019-09-29 18:00:03.395549 -- price updated
2019-09-29 18:03:05.045726 -- price updated
2019-09-29 18:06:05.364782 -- price updated
2019-09-29 18:09:05.276975 -- price updated
2019-09-29 18:12:06.281943 -- price updated
2019-09-29 18:17:50.632133 -- price updated
2019-09-29 18:18:03.093585 -- price updated
2019-09-29 18:21:02.319235 -- price updated
2019-09-29 18:24:02.632907 -- price updated
2019-09-29 18:27:03.065130 -- price updated
2019-09-29 18:30:02.996881 -- price updated
2019-09-29 18:33:02.295409 -- price updated
2019-09-29 18:36:02.603224 -- price updated
2019-09-29 18:39:02.964636 -- price updated
2019-09-29 18:42:03.273549 -- price updated
2019-09-29 18:45:03.636467 -- price updated
2019-09-29 18:48:03.324700 -- price updated
2019-09-29 18:51:02.430284 -- price updated
2019-09-29 18:54:02.750489 -- price updated
2019-09-29 18:57:03.300921 -- price updated
2019-09-29 19:00:03.517874 -- price updated
2019-09-29 19:03:02.825831 -- price updated
2019-09-29 19:06:03.157519 -- price updated
2019-09-29 19:09:02.451920 -- price updated
2019-09-29 19:12:02.563912 -- price updated
2019-09-29 19:15:03.517258 -- price updated
2019-09-29 19:18:02.924482 -- price updated
2019-09-29 19:21:03.267274 -- price updated
2019-09-29 19:24:02.765135 -- price updated
2019-09-29 19:27:03.395610 -- price updated
2019-09-29 19:30:03.520675 -- price updated
2019-09-29 19:33:03.227116 -- price updated
2019-09-29 19:36:03.061595 -- price updated
2019-09-29 19:39:02.770294 -- price updated
2019-09-29 19:45:14.777324 -- price updated
2019-09-29 19:45:16.316312 -- price updated
2019-09-29 19:48:02.714292 -- price updated
2019-09-29 19:51:02.741233 -- price updated
2019-09-29 19:54:03.063746 -- price updated
2019-09-29 19:57:02.322367 -- price updated
2019-09-29 20:00:03.006849 -- price updated
2019-09-29 20:03:02.322894 -- price updated
2019-09-29 21:12:03.481740 -- price updated
2019-09-29 21:15:02.838500 -- price updated
2019-09-29 21:18:03.325140 -- price updated
2019-09-29 21:21:03.177152 -- price updated
2019-09-29 21:24:02.631692 -- price updated
2019-09-29 21:27:02.939309 -- price updated
2019-09-29 21:30:02.857699 -- price updated
2019-09-29 21:33:03.323760 -- price updated
2019-09-29 21:36:02.718061 -- price updated
2019-09-29 21:39:03.153258 -- price updated
2019-09-29 21:42:03.045914 -- price updated
2019-09-29 21:45:03.738995 -- price updated
2019-09-29 21:48:03.287362 -- price updated
2019-09-29 21:51:02.263884 -- price updated
2019-09-29 21:54:02.581050 -- price updated
2019-09-29 21:57:03.007940 -- price updated
2019-09-29 22:00:02.822680 -- price updated
2019-09-29 22:03:03.152588 -- price updated
2019-09-29 22:06:02.523198 -- price updated
2019-09-29 22:09:02.890615 -- price updated
2019-09-29 22:12:03.230930 -- price updated
2019-09-29 22:15:03.157068 -- price updated
2019-09-29 22:18:02.667602 -- price updated
2019-09-29 22:21:02.989495 -- price updated
2019-09-29 22:24:02.292911 -- price updated
2019-09-29 22:27:02.710582 -- price updated
2019-09-29 22:30:04.059107 -- price updated
2019-09-29 22:33:02.552113 -- price updated
2019-09-29 22:36:03.078268 -- price updated
2019-09-29 22:39:02.480502 -- price updated
2019-09-29 22:42:02.506747 -- price updated
2019-09-29 22:45:03.248516 -- price updated
2019-09-29 22:48:02.546084 -- price updated
2019-09-29 22:51:02.460475 -- price updated
2019-09-29 22:54:03.085107 -- price updated
2019-09-29 22:57:02.523767 -- price updated
2019-09-29 23:00:03.544950 -- price updated
2019-09-29 23:03:02.845874 -- price updated
2019-09-29 23:06:03.057598 -- price updated
2019-09-29 23:09:02.354101 -- price updated
2019-09-29 23:12:03.011164 -- price updated
2019-09-29 23:15:02.698967 -- price updated
2019-09-29 23:18:03.214784 -- price updated
2019-09-29 23:21:03.078430 -- price updated
2019-09-29 23:24:02.567198 -- price updated
2019-09-30 10:57:09.986242 -- price updated
2019-09-30 11:00:02.908770 -- price updated
2019-09-30 11:03:03.242888 -- price updated
2019-09-30 11:06:02.532630 -- price updated
2019-09-30 11:09:03.003725 -- price updated
2019-09-30 11:12:03.064975 -- price updated
2019-09-30 11:15:02.867803 -- price updated
2019-09-30 11:18:03.102978 -- price updated
2019-09-30 11:21:03.430182 -- price updated
2019-09-30 11:24:02.842686 -- price updated
2019-09-30 11:27:03.277961 -- price updated
2019-09-30 11:30:03.353384 -- price updated
2019-09-30 11:33:02.648300 -- price updated
2019-09-30 11:36:03.145983 -- price updated
2019-09-30 11:39:02.456953 -- price updated
2019-09-30 11:42:02.446353 -- price updated
2019-09-30 11:45:03.410125 -- price updated
2019-09-30 11:48:02.815832 -- price updated
2019-09-30 11:51:02.932867 -- price updated
2019-09-30 11:54:02.399923 -- price updated
2019-09-30 11:57:02.800279 -- price updated
2019-09-30 12:42:11.262484 -- price updated
2019-09-30 12:45:02.981173 -- price updated
2019-09-30 12:48:02.264222 -- price updated
2019-09-30 12:51:03.425036 -- price updated
2019-09-30 12:54:02.618677 -- price updated
2019-09-30 12:57:02.829395 -- price updated
2019-09-30 13:00:03.512192 -- price updated
2019-09-30 13:03:02.717953 -- price updated
2019-09-30 13:06:03.172542 -- price updated
2019-09-30 13:09:07.368505 -- price updated
2019-09-30 13:12:02.308034 -- price updated
2019-09-30 13:15:03.004735 -- price updated
2019-09-30 13:18:02.309092 -- price updated
2019-09-30 13:21:03.157370 -- price updated
2019-09-30 13:24:02.083438 -- price updated
2019-09-30 13:27:02.344583 -- price updated
2019-09-30 13:30:03.176411 -- price updated
2019-09-30 13:33:02.664220 -- price updated
2019-09-30 13:36:03.072622 -- price updated
2019-09-30 13:39:02.388299 -- price updated
2019-09-30 13:42:02.229844 -- price updated
2019-09-30 13:45:02.902315 -- price updated
2019-09-30 13:48:03.269072 -- price updated
